endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/plate-armors/,0,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,1,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,2,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,3,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,4,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,5,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,6,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,7,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,8,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,9,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,10,"During the period from 1895 CE to 1941 CE, plate armor was absent as a military technology in the warfare practices of 'Hmong - Early Chinese'.
The Hmong people, also known as the Miao, were a group of ethnic minorities in China during this time period. They were primarily engaged in agriculture and did not have a significant military presence. Plate armor, which was typically used by armies and knights, was not a part of their military technology during this"
https://seshat-db.com/api/wf/plate-armors/,11,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,12,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,13,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,14,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,15,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,16,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,17,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,18,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,19,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,20,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,21,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,22,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,23,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,24,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,25,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,26,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,27,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,28,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,29,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,30,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,31,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,32,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,33,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,34,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,35,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,36,(1) Absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,37,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,38,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,39,"The lack of information regarding the presence or absence of plate armor as a military technology in the warfare practices of 'Egypt - Mamluk Sultanate I' during the period from 1260 CE to 1348 CE makes it impossible to provide an accurate answer. Please provide more information or clarify your query.assed
szed
The lack of information regarding the presence or absence of plate armor as a military technology in the warfare practices of 'Egypt - Mamluk Sultanate I"
https://seshat-db.com/api/wf/plate-armors/,40,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,41,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,42,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,43,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,44,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,45,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,46,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,47,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,48,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,49,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,50,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,51,present<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,52,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,53,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,54,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,55,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,56,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,57,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,58,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,59,absent<|endoftext|>
https://seshat-db.com/api/wf/plate-armors/,60,absent<|endoftext|>
