endpoint_identifier,entry_idx,output
wf/limb-protections,0,"During the period from 1747 CE to 1826 CE, was limb protection, defined as worn by cavalry, present or absent as a military technology in the warfare practices of 'Durrani Empire'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,1,"During the period from 1025 CE to 1215 CE, was limb protection, defined as armour that protects limbs, present or absent in the warfare practices of 'Ghur Principality'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,2,"Variable name: Limb_protection During the period from 256 BCE to 125 BCE, were the types of limb protection mentioned in the provided text, including cuirasses, scaled corsets, metal grieves, and thigh protectors made of leather, present or absent in the warfare practices of 'Greco-Bactrian Kingdom'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,3,"During the period from 408 CE to 561 CE, were limb protections such as the Karasulas armor mentioned in ""Mounted archers of the steppe 600 BC-AD 1300"" by Antony Karasulas inferred as being used as a military technology by warriors of the steppe in the warfare practices of 'Hephthalite Empire'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,4,"Was limb protection, defined as any protective gear worn to safeguard one or more limbs in combat, absent or present during the period from 388 CE to 477 CE in the warfare practices of 'Kidarite Kingdom'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,5,"During the period from 35 CE to 319 CE, were arm and leg protectors, such as those depicted in visual sources featuring cap-like helmets and metal suits that cover their legs and sleeves with concentric armored bands, present or absent as a military technology in the warfare practices of 'Kushan Empire'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,6,"Limb protection refers to the absence or presence of measures taken to protect limbs in warfare. During the period from 129 BCE to 29 CE, was limb protection present or absent as a military technology in the warfare practices of 'Tocharians'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,7,"During the period from 25 CE to 220 CE, was limb protection, defined as defense against projectile weapons, a common practice in the warfare tactics of 'Eastern Han Empire'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,8,"During the period from 265 CE to 317 CE, was limb protection, defined as armor for the lower limbs of both man and horse, present or absent in the warfare practices of 'Western Jin'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,9,"During the period from 1650 BCE to 1250 BCE, was the widespread use of limb protection, defined as armor that developed alongside the rise of large infantry forces in the Warring States period, present or absent in the warfare practices of 'Erligang'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,10,"During the period from 1850 BCE to 1600 BCE, was the widespread use of limb protection, specifically armor, present or absent in the warfare practices of 'Erlitou' in conjunction with the rise of large infantry forces in the Warring States period of 5th century BCE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,11,"During the period from 1895 CE to 1941 CE, was limb protection, defined as armor designed to protect limbs, present or absent in the warfare practices of 'Hmong - Early Chinese'? Please provide options in the format of: ""<option1>: <description1>"", ""<option2>: <description2>"", etc."
wf/limb-protections,12,"During the period from 1701 CE to 1895 CE, were limbs protected by materials such as rattan-cane helmet, wooden shield, hide, or wool, as well as iron greaves, in the warfare practices of 'Hmong - Late Qing'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,13,"During the period from 780 BCE to 404 BCE, was limb protection, including arm guards and leg protectors made of materials such as leather, bronze, or iron, present or absent in the defensive tactics of 'Jin'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,14,"During the period from 3000 BCE to 1900 BCE, was limb protection, defined as armor that protected the limbs of soldiers, widespread among large infantry forces in the Warring States period of ancient China? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,15,"During the period from 1115 CE to 1234 CE, was limb protection, defined as any type of armor or device used to protect limbs during warfare, present or absent in the warfare practices of 'Jin Dynasty'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,16,"Was limb protection, defined as armor designed to protect limbs, present or absent in the warfare practices of 'Great Ming' during the period from 1368 CE to 1644 CE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,17,"During the period from 960 CE to 1127 CE, was limb protection, defined as vambraces and greaves worn by cavalrymen to protect their legs, present or absent as a military technology in the warfare practices of 'Northern Song'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,18,"What type of limb protection, specifically chaps, did the fully armored warrior depicted in the pictorial representation dated to 357 wear, according to Graff (2002)? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,19,"During the period from 7000 BCE to 5001 BCE, was the widespread use of limb protection, defined as armor made of small metal rings linked together in a pattern to form a mesh, present or absent as a military technology in the warfare practices of 'Peiligang'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,20,"During the period from 1644 CE to 1796 CE, was the use of limb protection such as skirts with copper or brass studs present or absent in the warfare practices of 'Early Qing'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,21,Was limb protection made of brass-studded skirts present or absent as a military technology in the warfare practices of 'Late Qing' during the period from 1796 CE to 1912 CE? Please answer strictly with either 'present' or 'absent'.
wf/limb-protections,22,"During the period from 1250 BCE to 1045 BCE, was widespread use of limb protection such as armor seen as a military technology in the warfare practices of 'Late Shang' in the Warring States period, which is dated between 5th century BCE and the beginning of the Qin dynasty? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,23,"Was limb protection, defined as armor that protected the arms and legs of individuals, present in the warfare practices of 'Sui Dynasty' during the period from 581 CE to 618 CE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,24,"Was limb protection, defined as armor covering upper legs and arms, present or absent in the warfare practices of 'Tang Dynasty I' during the period from 617 CE to 763 CE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,25,"During the period from 763 CE to 907 CE, were limb protections such as those depicted in the picture (Ref: Hua 2010, 70) present or absent in the warfare practices of 'Tang Dynasty II'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,26,"During the period from 445 BCE to 225 BCE, was the use of limb protection, including armor and helmets, present or absent as a military technology in the warfare practices of the Early Wei Dynasty? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,27,"During the period from 202 BCE to 9 CE, was limb protection, defined as any type of protective gear worn on limbs, present or absent in the warfare practices of 'Western Han Empire'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,28,"During the period from 1122 BCE to 771 BCE, was limb protection, defined as additional protective armor equipment besides helmets and shields, present or absent in the warfare practices of 'Western Zhou'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,29,"During the period from 5000 BCE to 3000 BCE, was limb protection, defined as widespread use of armor among infantry forces in the Warring States period (5th c BCE), present or absent as a military technology in the warfare practices of 'Yangshao'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,30,"Limb protection, defined as any type of armor designed to protect the limbs, was present or absent as a military technology in the warfare practices of 'Great Yuan' during the period from 1271 CE to 1368 CE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,31,"The use of limb protection, defined as any protective gear worn on limbs to prevent injury, was present or absent in the warfare practices of 'Neguanje' during the period from 250 CE to 1050 CE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,32,"Limb protection, defined as any type of armor or clothing designed to protect limbs from injury in battle, was present or absent in the warfare practices of 'Tairona' during the period from 1050 CE to 1524 CE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,33,"During the period from 1534 CE to 1830 CE, were cap and ornamentation such as monkey's skin caps, jaguar tooth necklaces, and boa skin belts considered as forms of limb protection in the warfare practices of 'Shuar - Colonial'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,34,"During the period from 1831 CE to 1931 CE, did the use of limb protection, specifically a monkey skin cap, large ear-tubes, a necklace of jaguar's teeth, a cincture of human hair, and a belt of boa skin, play a significant role in the warfare practices of 'Shuar - Ecuadorian'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,35,"During the period from 1171 CE to 1250 CE, were fully-armoured cavalry, featuring limb protection such as mail, present or absent in the warfare practices of 'Ayyubid Sultanate'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,36,"During the period from 4400 BCE to 3800 BCE in ancient Egypt, did individuals primarily rely on shields as their only form of limb protection in warfare? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,37,"During the period from 3100 BCE to 2900 BCE, were soldiers in ancient Egypt protected by armours such as bandages or shields made of cowhide stretched over a wooden frame, or did they only wear belts and small triangular loincloths? Please answer strictly with either 'present' or 'absent': Chainmail, Habergeon, or no protection at all."
wf/limb-protections,38,"Was limb protection, specifically shields made of cowhide stretched over a wooden frame, present as a military technology in the warfare practices of ancient Egypt during the period from 2900 BCE to 2687 BCE? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,39,"During the period from 404 BCE to 342 BCE, were Greek mercenaries and their use of armor like that worn by the Saite period and contemporaries likely present or absent in the warfare practices of 'Egypt - Inter-Occupation Period'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,40,"During the period from 1260 CE to 1348 CE, were limb protections such as the mamluk askari's thigh defenses, which were based on pictorial sources and had no archaeological evidence available, present or absent in the armours of the warfare practices of 'Egypt - Mamluk Sultanate I'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,41,"During the period from 1412 CE to 1517 CE, was limb protection, defined as mail and plate armor for the thigh and knee, as well as upper limb protection, present or absent in the warfare practices of 'Egypt - Mamluk Sultanate III'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,42,"Variable name: Limb_protection
Variable description: The absence or presence of limb protection as a military technology used in warfare.
During the period from 1348 CE to 1412 CE, was the use of limb protection, defined as armor protecting limbs such as thighs, arms, and legs, present or absent in the warfare practices of 'Egypt - Mamluk Sultanate II'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,43,"During the period from 2016 BCE to 1700 BCE, were soldiers in ancient Egypt protected by any kind of chainmail or armoured clothing, including the use of small metal rings linked together in a pattern to form a mesh? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,44,"During the period from 3800 BCE to 3550 BCE, was limb protection, defined as armor or protection in fight, present or absent as a military technology in the warfare practices of 'Naqada I'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,45,"During the period from 3550 BCE to 3300 BCE, was limb protection, defined as personal protection other than shields, present or absent in the warfare practices of 'Naqada II'? Please answer strictly with either 'present' or 'absent' (1) Present (2) Absent"
wf/limb-protections,46,"During the period from 3300 BCE to 3100 BCE, did the use of shields made of cowhide stretched over a wooden frame, which served as the primary limb protection for Egyptian soldiers apart from occasional use of a band of webbing across the shoulders and chest, exist as a military technology in the warfare practices of 'Egypt - Dynasty 0'? Please answer strictly with either 'present' or 'absent'."
wf/limb-protections,47,"Was body armor, in the form of small bronze plates riveted to linen or leather jerkins, present or absent as a military technology in the warfare practices of ancient Egypt during the periods from 1293 BCE to 1070 BCE? Please answer strictly with either 'present' or 'absent' Yes/No/Unknown </answer-options>"
wf/limb-protections,48,"During the period from 1550 BCE to 1293 BCE, were body armours made of small bronze plates riveted to linen or leather jerkins, with a tapered lower half, present or absent as a military technology in the warfare practices of 'Egypt - New Kingdom Thutmosid Period'? Please answer strictly with either 'present' or 'absent'."
