endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/sling-siege-engines/,0,"The absence or presence of the sling siege engine, defined as a device used to launch projectiles over long distances, as a military technology during this time in '<polity>'?
<answer-options> Yes/No</answer-options>"
https://seshat-db.com/api/wf/sling-siege-engines/,1,"During the period from <time-start> to <time-end>, was the use of the sling-siege engine, defined as an array of missiles, including 'fire-eyed rockets', slinging and stoning machines, present or absent as a military technology in the siege operations of the Ghaznavid and Ghurid armies in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,2,"During the period from <time-start> to <time-end>, was the first use of the counter-weight trebuchet, defined as a siege engine that utilizes a counterweight system to launch projectiles over great distances, present or absent in the military technologies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,3,"During the period from <time-start> to <time-end>, was the counter-weight trebuchet, also known as the sling siege engine, first used by the Byzantines as a military technology in the siege of Zevgminon in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,4,"During the period from <time-start> to <time-end>, was the first use of the counter-weight trebuchet as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,5,"During the period from <time-start> to <time-end>, was the first use of the counter-weight trebuchet, defined as a type of siege engine that uses counterweights to launch projectiles, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,6,"Was the first use of the counter-weight trebuchet, defined as a type of siege engine that uses a counterweight to launch projectiles, present in the warfare practices of the Byzantine Empire during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,7,"During the period from <time-start> to <time-end>, was the use of Sling_siege_engine, defined as an arcuballiste and lever-operated stone-throwing catapults (trebuchets) approaches as well as other siege weapons such as artillery, moveable towers, and artificial mounds, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,8,"During the period from <time-start> to <time-end>, were arcuballistes and lever-operated stone-throwing catapults (trebuchets) known as Sling_siege_engine present or absent in the Chinese art of siege warfare in '<polity>? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,9,"During the period from <time-start> to <time-end>, were arcuballistes and lever-operated stone-throwing catapults (trebuchets), known as Sling_siege_engine, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,10,"During the period from <time-start> to <time-end>, was the use of Sling_siege_engine, defined as an arcuballiste and lever-operated stone-throwing catapults (trebuchets), present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,11,Was the sling siegere engine present or absent as a military technology during the period from <time-start> to <time-end> in the warfare practices of '<polity>? <answer-options>.
https://seshat-db.com/api/wf/sling-siege-engines/,12,"Was the sling_siege_engine, defined as siege weaponry not present until the Warring States period, a common feature in the warfare tactics of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,13,"Can you please provide more information about the intended scope and usage of the ""Sling_siege_engine"" variable? This will help me to accurately formulate a historical exam question based on its definition."
https://seshat-db.com/api/wf/sling-siege-engines/,14,"During the period from <time-start> to <time-end>, did the use of sling sieges as a military technology become more prevalent or less prevalent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,15,"During the period from <time-start> to <time-end>, was the sling sieges engine, defined as the first known use of gravity powered siege engine which was used by Byzantine Empire and it dates back to just under two thousand years ago, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,16,"During the period from <time-start> to <time-end>, was the sling-siege engine, defined as earliest references to siege weaponry in the Warring States period (Liang 2005), present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,17,"During the period from <time-start> to <time-end>, were early versions of siege crossbows and traction trebuchets, as described in the works of Mo Zi and during the great siege of Xiangyang, present or absent in the military technology of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,18,"During the period from <time-start> to <time-end>, was the use of Counterweight trebuchets and/or traction trebuchets present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/sling-siege-engines/,19,"Was the counter-weight trebuchet, also known as the sling siege engine, an advanced military technology used in warfare during the period from <time-start> to <time-end> in the context of '<polity>? <answer-options>."
