endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/self-bows/,0,"During the period from <time-start> to <time-end>, were self-bows, defined as bows used by the Uzbek contingents and other tribal groups, present or absent as a military technology in the warfare practices of '<polity>'? Please provide your answer as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,1,The use of self-bows as a military technology was present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? Please provide your answer as either 'present' or 'absent'.
https://seshat-db.com/api/wf/self-bows/,2,"Was the self-bow, inferred as the Bactrian Greeks' equipment following the tradition of the Macedonians, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? Please provide your answer as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,3,"During the period from <time-start> to <time-end>, was self-bow, defined as a powerful composite bow, present or absent as a military technology in the warfare practices of '<polity>'? Provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,4,"During the period from <time-start> to <time-end>, was the self-bow, defined as a bow designed for self-loading and aimed towards greater accuracy, present or absent in the warfare practices of '<polity>'? Provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,5,"During the period from <time-start> to <time-end>, were self-bows, defined as bows that did not require string or sinew for operation, present or absent as a military technology in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,6,"During the period from <time-start> to <time-end>, was the self-bow, defined as a bow likely made obsolete by composite bows, present or absent as a military technology in the warfare practices of '<polity>'? Please provide your answer as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,7,"During the period from <time-start> to <time-end>, was the use of self-bows as a military technology present or absent in the warfare practices of '<polity>'? Please provide your answer as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,8,"During the period from <time-start> to <time-end>, was self-bow, defined as a type of bow that did not require a separate bowstring to be attached, present or absent as a military technology in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,9,"During the period from <time-start> to <time-end>, were arrowheads made of bone, including bone artifacts discovered west of the phase I palace-temple compound wall, present or absent in the weaponry of '<polity>'? Provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,10,"During the period from <time-start> to <time-end>, were bone arrowheads present or absent in the arrowhead workshops located in the vicinity of '<polity>'? Provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,11,"I'm sorry, but I am unable to provide an accurate answer to your question without further information about the coding process and what specific input you require. Could you please provide more details about the coding process and the type of expert input needed?"
https://seshat-db.com/api/wf/self-bows/,12,"Please provide more information about the variable ""Self_bow"" such as its meaning, usage, and context so that I can assist you in coding it accurately."
https://seshat-db.com/api/wf/self-bows/,13,"During the period from <time-start> to <time-end>, was self-bow, inferred as a possible absence of the more powerful composite bow as a military technology in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,14,"During the period from <time-start> to <time-end>, were self-bows, defined as arrows fired by holding the bow in one hand and pulling back the string with the other, present or absent as a military technology in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,15,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow that does not require an armorer or woodworker to construct, present or absent in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,16,"During the late fourteenth century, was self-bow, defined as an ancient Chinese type of bow, present or absent in the weaponry of soldiers in southwestern Yunnan? Please provide your answer as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,17,"Was the use of self-bows, defined as bows without assistance from a horse or other means of propulsion, present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? Please provide your answer as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,18,"During the period from <time-start> to <time-end>, was self-bow, defined as a bow that is held by a horseman while mounted, present or absent in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,19,"Was the use of self-bows, defined as arrows with bone points, present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,20,"During the period from <time-start> to <time-end>, was the self-bow, defined as a traditional bow and arrow, present or absent as a military technology in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,21,"During the period from <time-start> to <time-end>, was self-bow, defined as a bow and arrow combination used by the bannermen soldiers, present or absent as a military technology in the warfare practices of '<polity>'? Please provide your answer strictly as either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,22,"During the period from <time-start> to <time-end>, was the self bow inferred as a military technology in the warfare practices of '<polity>' based on the presence of similar weapons in previous and subsequent polities within the Middle Yellow River Valley? Please respond with either 'present' or 'absent'."
https://seshat-db.com/api/wf/self-bows/,23,"During the period from <time-start> to <time-end>, was the use of self bows as a military technology present or absent in the warfare strategies of '<polity>'? Provide your answer strictly as either 'present' or 'absent'."
