endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/limb-protections/,0,"During the period from <time-start> to <time-end>, was limb protection, defined as worn by cavalry, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,1,"During the period from <time-start> to <time-end>, was limb protection, defined as armour that protects limbs, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,2,"Variable name: Limb_protection During the period from <time-start> to <time-end>, were the types of limb protection mentioned in the provided text, including cuirasses, scaled corsets, metal grieves, and thigh protectors made of leather, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,3,"During the period from <time-start> to <time-end>, were limb protections such as the Karasulas armor mentioned in ""Mounted archers of the steppe 600 BC-AD 1300"" by Antony Karasulas inferred as being used as a military technology by warriors of the steppe in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,4,"Was limb protection, defined as any protective gear worn to safeguard one or more limbs in combat, absent or present during the period from <time-start> to <time-end> in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,5,"During the period from <time-start> to <time-end>, were arm and leg protectors, such as those depicted in visual sources featuring cap-like helmets and metal suits that cover their legs and sleeves with concentric armored bands, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,6,"Limb protection refers to the absence or presence of measures taken to protect limbs in warfare. During the period from <time-start> to <time-end>, was limb protection present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,7,"During the period from <time-start> to <time-end>, was limb protection, defined as defense against projectile weapons, a common practice in the warfare tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,8,"During the period from <time-start> to <time-end>, was limb protection, defined as armor for the lower limbs of both man and horse, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,9,"During the period from <time-start> to <time-end>, was the widespread use of limb protection, defined as armor that developed alongside the rise of large infantry forces in the Warring States period, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,10,"During the period from <time-start> to <time-end>, was the widespread use of limb protection, specifically armor, present or absent in the warfare practices of '<polity>' in conjunction with the rise of large infantry forces in the Warring States period of 5th century BCE? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,11,"During the period from <time-start> to <time-end>, was limb protection, defined as armor designed to protect limbs, present or absent in the warfare practices of '<polity>'? Please provide options in the format of: ""<option1>: <description1>"", ""<option2>: <description2>"", etc."
https://seshat-db.com/api/wf/limb-protections/,12,"During the period from <time-start> to <time-end>, were limbs protected by materials such as rattan-cane helmet, wooden shield, hide, or wool, as well as iron greaves, in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,13,"During the period from <time-start> to <time-end>, was limb protection, including arm guards and leg protectors made of materials such as leather, bronze, or iron, present or absent in the defensive tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,14,"During the period from <time-start> to <time-end>, was limb protection, defined as armor that protected the limbs of soldiers, widespread among large infantry forces in the Warring States period of ancient China? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,15,"During the period from <time-start> to <time-end>, was limb protection, defined as any type of armor or device used to protect limbs during warfare, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/limb-protections/,16,"Was limb protection, defined as armor designed to protect limbs, present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
