endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/tension-siege-engines/,0,"During the period from <time-start> to <time-end>, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,1,"During the period from <time-start> to <time-end>, was the use of the catapult, a siege engine that throws projectiles, present or absent in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,2,"During the period from <time-start> to <time-end>, was the use of tension siege engines, which were present in Alexander's army and successor states, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,3,"During the period from <time-start> to <time-end>, was the use of tension siege engines, which were present in previous and subsequent polities, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,4,"During the period from <time-start> to <time-end>, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,5,"During the period from <time-start> to <time-end>, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,6,"During the period from <time-start> to <time-end>, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,7,"During the period from <time-start> to <time-end>, was the use of siege crossbows and traction trebuchets, early versions of siege crossbows and traction trebuchets may be noted in the accounts of the wars of the Qin and Han dynasties, and appear in the early military writings associated with the name of Mo Zi, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,8,"During the period from <time-start> to <time-end>, was the use of siege equipment, specifically artillery, moveable towers, artificial mounds, and scaling ladders, present or absent in the warfare strategies of '<polity>'?"
https://seshat-db.com/api/wf/tension-siege-engines/,9,"During the period from <time-start> to <time-end>, was the use of siege engines, specifically those not present until the Warring States period, present or absent in the warfare strategies of '<polity>'?"
