endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/battle-axes/,0,"During the period from <time-start> to <time-end>, was battleaxe, defined as a type of axe commonly used in warfare, present or absent in the military technology of '<polity>' during the Battle of Panipat in 1761 CE? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,1,"During the period from <time-start> to <time-end>, were battle axes, including qalachurs and possibly other types of weapons such as maces, spears, and swords, present or absent as a military technology used by the Ghaznavid and Ghurid armies in warfare in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,2,"During the period from <time-start> to <time-end>, was the battle axe, defined as an axe-like weapon used in combat, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,3,"During the period from <time-start> to <time-end>, was the battle axe, present in preceding and succeeding polities, an important military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,4,"During the period from <time-start> to <time-end>, was battleaxe, defined as a tool or weapon consisting of a heavy blade attached to a wooden handle, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,5,"During the period from <time-start> to <time-end>, were battle axes, defined as weapons consisting of an elongated handle and a heavy blade at the end, used as a military technology by the people of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,6,"During the seventh and sixth centuries B.C., was the use of battleaxes, defined as an armament consisting of a wooden handle and a sharp blade attached to one end, present or absent in the warfare practices of nomadic states of northern Iranian tribes in Central Asia as attested by ancient Greek literature and Old Persian inscriptions, according to Harmatta (1994)? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,7,"During the period from <time-start> to <time-end>, were bronze axes, including halberds or dagger-axes, used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,8,"During the period from <time-start> to <time-end>, were battleaxes, defined as an early type of axe used in ancient Chinese warfare, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,9,"Was the manufacture and use of ge blades and broad-blade axes, including the ko dagger-axe, present during the period from <time-start> to <time-end> in the city of Panlongcheng in the Shang Dynasty? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,10,"During the period from <time-start> to <time-end>, were battle axes, defined as transverse dagger-shaped bronze blades, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,11,"Please provide additional information about the Battle Axe variable. Specifically, what type of Battle Axe are you referring to and what is its defining characteristic? This will help me provide a more accurate definition and appropriate question prompt."
https://seshat-db.com/api/wf/battle-axes/,12,"During the period from <time-start> to <time-end>, were battle axes, defined as a type of axe typically used in close combat, present or absent as a military technology in the warfare practices of '<polity>'? Please note that this question requires expert input to accurately define the specific characteristics and usage of battle axes during the specified time period. <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,13,"During the period from <time-start> to <time-end>, were battle axes, defined as weapons characterized by their long, slender shape and sharp edge, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,14,"Was battle axe, defined as an axe primarily used for subsistence but potentially also as a weapon, present or absent as a military technology during the period from <time-start> to <time-end> in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,15,"During the period from <time-start> to <time-end>, were battle axes, defined as an axe-like weapon with a bladed head and usually a wooden handle, present or absent in the weaponry of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,16,"Was the battle axe, defined as a sharp-edged weapon typically wielded by one hand, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,17,"During the period from <time-start> to <time-end>, was the battle axe, defined as a type of axe characterized by its long handle and blade, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,18,"During the period from <time-start> to <time-end>, was battleaxe, a type of axe designed for one-handed use in battle, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,19,"During the period from <time-start> to <time-end>, were stone axes, specifically those used as tools rather than weapons, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,20,"During the period from <time-start> to <time-end>, was the battle axe, a type of axe typically used as a weapon in hand-to-hand combat, a commonly used military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,21,"During the period from <time-start> to <time-end>, was the battle axe, defined as a straight-bladed axe, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,22,"During the period from <time-start> to <time-end>, was the use of battle axes as symbols of authority, for executing prisoners, or both, present or absent in the military practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,23,"Was the battle axe, defined as a weapon consisting of an axe head attached to a handle, present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,24,战斧作为军事技术是否在隋朝时期存在？<answer-options>.
https://seshat-db.com/api/wf/battle-axes/,25,"During the period from <time-start> to <time-end>, were battleaxes present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,26,"During the period from <time-start> to <time-end>, was the battle axe, defined as an outdated weapon consisting of a wooden handle attached to a stone or metal blade, considered a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,27,"Was bronze axe, a type of battle axe characterized by its metal construction, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,28,"During the period from <time-start> to <time-end>, was the use of the Yue battle-axe, defined as a type of battle axe found in ancient China, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,29,"During the period from <time-start> to <time-end>, was the battleaxe, defined as an axe commonly used in ancient warfare, present or absent as a military technology in the conflicts of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,30,"The absence or presence of battle axes as a military technology used in warfare. During the period from <time-start> to <time-end>, was battle axe, defined as a long-handled axe with a curved blade typically used by infantry, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,31,"During the period from <time-start> to <time-end>, was battle axe, defined as a tool used for cutting wood or other materials, used as both agricultural tools and ritual implements by the Tairona civilization of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,32,"During the period from <time-start> to <time-end>, were battleaxes present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,33,"Variable name: Battle_axe
Variable description: The use of battle axes as a military technology in warfare among the Shuar people.
During the period from <time-start> to <time-end>, was the use of battle axes as a military technology present or absent in the warfare practices of the Shuar people? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,34,"During the period from <time-start> to <time-end>, were battleaxes, defined as steel cutting tools, firearms, and ammunition, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,35,"During the period from <time-start> to <time-end>, were infantry equipped with battleaxes, characterized by long blades, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,36,"During the period from <time-start> to <time-end>, were battle axes, defined as axe heads found at the site of the ancient Egyptian settlement of Badari, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,37,"Was the battleaxe, defined as a type of axe with a long blade and concave sides, a common military technology during the Dynastic Period of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,38,"During the Dynastic Period of '<polity>', was the battleaxe, defined as a long-bladed axe with a concave side narrowing down to a curved edge, a commonly used weapon? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,39,"During the period from <time-start> to <time-end>, were battleaxes and maces considered a fashionable military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,40,"During the period from <time-start> to <time-end>, was the battle axe, carried by Mamluk heavy cavalryman, a common weapon used in warfare in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,41,"During the period from <time-start> to <time-end>, was the battle axe, defined as a type of war axe commonly used by cavalry and infantry units, present or absent in the warfare tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/battle-axes/,42,"During the period from <time-start> to <time-end>, was the battle axe carried by Mamluk heavy cavalrymen, defined as a weapon consisting of a wooden handle and a sharpened blade, present or absent in the battlefield tactics of '<polity>'? <answer-options>."
