endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/bronzes/,0,"During the period from <time-start> to <time-end>, was bronze, inferred from the presence of higher metals, a significant component of the military technology utilized by '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,1,"During the period from <time-start> to <time-end>, was bronze, defined as an alloy composed primarily of copper and tin, inferred from the presence of higher metals, used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,2,"During the period from <time-start> to <time-end>, was bronze an inferred as the primary material used for weapons and armor among the Bactrian Greeks, who were known to have been influenced by the traditions of the Macedonians? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,3,"During the period from <time-start> to <time-end>, was bronze present as a material used in warfare by the steppe cultures? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,4,"Was bronze, defined as an alloy of copper and tin that was widely used in ancient societies, a common material for weapons and armor in the steppe region from around 1500 BCE to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,5,"During the period from <time-start> to <time-end>, was the use of bronze as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,6,"During the period from 1500 BCE to <time-end>, was bronze, defined as a metal alloy consisting primarily of copper and tin, used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,7,"During the period from <time-start> to <time-end>, were bronze weapons, including axes, swords, and other types, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,8,"During the period from <time-start> to <time-end>, was bronze, which refers to the widespread use of bronze in the Han dynasty, present or absent as a material used in the production of weapons in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,9,"Based on the provided text, was the level of technological sophistication in the casting of bronze vessels, particularly in the Erligang period, associated with the development of specialized workshops and increased political control? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,10,"During the Erligang period, was the technology used to cast bronze vessels, including the piece-mold or section-mold technique, present or absent as a significant aspect of craft production and specialization in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,11,"During the period from <time-start> to <time-end>, was bronze, defined as an alloy of copper and tin, present or absent as a primary material for tools and weapons in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,12,"During the period from <time-start> to <time-end>, was bronze, a type of metal typically composed of copper and tin, widely available and utilized as a material for weapons and tools in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,13,"During the period from <time-start> to <time-end>, was bronze, defined as a metallic alloy consisting primarily of copper and tin, present or absent as a material used in the production of weapons and armor in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,14,"During the period from <time-start> to <time-end>, was bronze, defined as a type of metal used to create weapons, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,15,"During the period from <time-start> to <time-end>, was bronze an available metal for use in weapons and armor in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,16,"During the period from 1453 CE to <time-end>, was bronze firearms, defined as metal tubular firearms, present or absent in the weaponry of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,17,"During the period from <time-start> to <time-end>, was bronze, defined as a type of metal alloy typically consisting of copper and tin, used as a material for military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,18,"Was bronze, defined as an alloy of copper and tin commonly used in ancient Chinese civilizations, present as a military technology during the period from <time-start> to <time-end> in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,19,"During the period from <time-start> to <time-end>, was bronze, defined as bone and stone tools, ceramics, and copper alloys, a common material for weaponry and tools in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,20,"During the period from <time-start> to <time-end>, was bronze an alternative material used for casting cannons, as opposed to iron, in the military technology of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,21,"During the period from <time-start> to <time-end>, was bronze, specifically referring to cannons made of the metal, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,22,"During the period from <time-start> to <time-end>, was bronze, defined as the first material used to make weapons such as spears, swords, daggers, and halberds, present or absent as a 'military technology' in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,23,"During the period from <time-start> to <time-end>, was bronze, specifically referring to the type of metal commonly used in weapons and armor during the Northern China Workshop of 2016, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,24,"During the period from <time-start> to <time-end>, was bronze, defined as a type of metal alloy composed primarily of copper and tin, present or absent as a material used in the production of tools and weapons in the cultures of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,25,"Was bronze, as a metal used for creating weapons and armor, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,26,"During the period from <time-start> to <time-end>, were short bronze blades, specifically from the Warring States period, present or absent in the military technology of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,27,"During the period from <time-start> to <time-end>, was bronze considered a military technology in the warfare practices of '<polity>'? <answer-options>. (Options: Present, Absent)"
https://seshat-db.com/api/wf/bronzes/,28,"During the period from <time-start> to <time-end>, was bronze, acquired from Shang, a commonly used material for crafting weapons, tools, and other objects in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,29,"Was bronze, defined as a type of metal used for weapons and armor, available as a material for battles during the Neolithic period between <time-start> and <time-end> in the context of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,30,The absence or presence of bronze as a material used in warfare during the period from <time-start> to <time-end> in the context of '<polity>'. <answer-options>.
https://seshat-db.com/api/wf/bronzes/,31,"During the period from <time-start> to <time-end>, was bronze, defined as a type of metal alloy consisting primarily of copper and tin, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,32,"In the period from <time-start> to <time-end> in the context of '<polity>', was bronze, defined as a mixture of copper and tin, widely available for use in various applications such as coins, tools, and weapons? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,33,"During the period from <time-start> to <time-end>, was bronze used as a material for weapons and armor in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,34,"During the period from <time-start> to <time-end>, was there any evidence of bronze being used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,35,"During the period from <time-start> to <time-end>, was bronze, a metal alloy consisting primarily of copper and tin, present or absent in the production and usage of weapons and tools in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,36,"During the period from <time-start> to <time-end>, was the production and usage of bronze, specifically including copper-copper metallurgy from 2500 BCE, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,37,"During the period from <time-start> to <time-end>, was bronze, defined as copper metallurgy from 2500 BCE, present or absent as a military technology in the weaponry of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,38,"During the period from <time-start> to <time-end>, was copper metallurgy, specifically the production of bronze items such as spearheads and arrowheads, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,39,"During the period from <time-start> to <time-end>, did Greek mercenaries possess elaborate bronze armor as a military technology in their warfare practices in '<polity>? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,40,"During the period from <time-start> to <time-end>, was bronze used as an ornamental trimming on weapons and armour by the Mamluk Askari between the years of 1250 and 1517? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,41,"During the period from <time-start> to <time-end>, was the use of bronze, especially trimmings on weapons/armour, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,42,"During the period from <time-start> to <time-end>, was the use of bronze as an ornamental trimming on weapons and armour, such as the ""Mamluk Askar"" period (1250-1517), present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,43,"During the period from <time-start> to <time-end>, was evidence for bronze arrowheads and spearheads present or absent in the weaponry of '<polity>'? <answer-options>. (<a class=""external free"" href=""http://www.reshafim.org.il/ad/egypt/weapons/index.html"" rel=""nofollow"">http://www.reshafim.org.il/ad/egypt/weapons/index.html</a>; Fields 2007, 4; Gnirs 2001)"
https://seshat-db.com/api/wf/bronzes/,44,"During the period from <time-start> to <time-end>, was bronze, defined as including copper, a common material for weapon production such as spearheads and arrowheads, present or absent in the weaponry of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/bronzes/,45,"During the period from <time-start> to <time-end>, was the use of bronze as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>: Yes / No"
https://seshat-db.com/api/wf/bronzes/,46,"During the period from <time-start> to <time-end>, was the use of bronze, defined as copper metallurgy from 2500 BCE, present as a military technology in the weaponry of '<polity>'? <answer-options>."
