endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/fortified-camps/,0,"During the period from <time-start> to <time-end>, were fortified camps, defined as armies constructing defensive structures around their encampments, present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,1,Was the use of fortified camps as a military strategy present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/fortified-camps/,2,"During the period from <time-start> to <time-end>, were fortified camps present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,3,The absence or presence of fortified camps as a defensive strategy during the period from <time-start> to <time-end> in the context of '<polity>'. Were they present or absent? <answer-options>.
https://seshat-db.com/api/wf/fortified-camps/,4,"During the period from <time-start> to <time-end>, were fortified camps, characterized by a strong defensive perimeter, walls, and towers, present or absent as a military strategy in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,5,"The fortified camp was a type of military base characterized by its strong fortifications, including walls, towers, and gates, typically built to provide protection against enemy attacks. During the period from <time-start> to <time-end>, was the fortified camp a prevalent military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,6,"During the period from <time-start> to <time-end>, were fortified camps used by the military in '<polity>'? If yes, please indicate which type of fortified camp(s) were utilized and provide examples. <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,7,"During the period from <time-start> to <time-end>, were fortified camps, consisting of field defences such as wagon laagers, earth ramparts, or felled trees, prevalent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,8,"During the period from <time-start> to <time-end>, were fortified camps present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,9,"During the period from <time-start> to <time-end>, was the use of fortified camps as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,10,"During the period from <time-start> to <time-end>, were fortified camps present or absent as a military strategy in the warfare practices of '<polity>'? Please note that this requires expert input to accurately code the variable. <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,11,The absence or presence of fortified camps as a military strategy used in warfare. <answer-options>.
https://seshat-db.com/api/wf/fortified-camps/,12,"Was the fortified camp, defined as a defended settlement or base built with walls and other fortifications, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,13,"During the period from <time-start> to <time-end>, was the use of fortified camps as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,14,"Was the use of fortified camps, defined as military installations constructed with walls and other defensive structures, present or absent in the warfare strategies of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,15,"During the period from <time-start> to <time-end>, was the fortified camp technique, as described by Zhu when he set up forts against Chen in 1363 CE, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,16,"The absence or presence of fortified camps as a military technology used in warfare. During the period from <time-start> to <time-end>, were fortified camps present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,17,"For the period from <time-start> to <time-end>, was the presence of fortified camps, defined as strong defensive structures such as walls and towers, considered significant or not in the military strategy of '<polity>' compared to their previous polity? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,18,"The absence or presence of fortified camps as a military technology used in warfare. During the period from <time-start> to <time-end>, were fortified camps present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,19,"During the period from <time-start> to <time-end>, was the construction of fortified camps, such as the one built by Furdan in Khobdo, present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,20,"Was the establishment of fortified camps, as exemplified by the Qing setting up all of Xinjiang as a military camp during their expansion, a common practice during the period from <time-start> to <time-end> in the context of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,21,"During the period from <time-start> to <time-end>, were fortified camps present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,22,"For the period from <time-start> to <time-end> in the context of '<polity>', was the fortified camp, defined as a defensive structure made of walls and other fortifications, present as a military technology? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,23,"During the period from <time-start> to <time-end>, were fortified camps, as described by Bennett (2002), an important part of the military technology used in warfare by the T'ang armies? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,24,"During the period from <time-start> to <time-end>, were fortified camps, defined as elaborate structures built to protect armies on campaign, present or absent in the tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,25,"During the period from <time-start> to <time-end>, were fortified camps present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,26,Was the use of fortified camps as a military technology present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/fortified-camps/,27,"During the period from <time-start> to <time-end>, were there textual references to fortified camps in the context of '<polity>'? If yes, please provide examples. <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,28,Was the formation of fortified camps by military organizations present or absent during the period from <time-start> to <time-end> in the context of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/fortified-camps/,29,"During the period from <time-start> to <time-end>, were fortified camps used by the Mongol army to control the river around Xiangyang and Fancheng, as described in Lorge (2005)? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,30,Was there any evidence for the presence of fortified camps in the Neguanje period? <answer-options>.
https://seshat-db.com/api/wf/fortified-camps/,31,"During the period from <time-start> to <time-end>, were fortified camps present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,32,"During the period from <time-start> to <time-end>, were fortified camps, described as make-shift palisades and watchtowers made from wood only, a prevalent feature of military strategy in the practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,33,"During the period from <time-start> to <time-end>, was a fortified camp, defined as a settlement in a defensive position featuring a structure built on top of a hill with several large, strong wooden posts supporting a small room and surrounded by a wall made of chonta and caña, considered as a military technology used in warfare in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,34,"During the period from <time-start> to <time-end>, were small fortified khans, such as Khan al'Arus located just north of Damascus, a common feature of the military technology employed by Saladin's forces in his campaign against the Crusaders in Syria? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,35,"Was the fortified camp, defined as a type of defensive structure typically composed of walls, ditches, and other fortifications, present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,36,"During the period from <time-start> to <time-end>, were fortified camps present or absent in the territories of '<polity>' in the north and south of Palestine according to the work of Bard (2000)? Please provide your answer using the following options: <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,37,"During the period from <time-start> to <time-end>, were fortified camps present or absent in the north and south of Palestine as a military strategy employed by '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,38,"During the period from <time-start> to <time-end>, were fortified camps present in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,39,"During the period from <time-start> to <time-end>, were fortified camps with ditches and an advance guard, as described by Nicolle (1996, 135-181), present or absent in the military practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,40,"During the period from <time-start> to <time-end>, was the use of fortified camps with ditches as a military strategy employed by the Ottoman Empire in their wars against other states? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,41,"During the period from <time-start> to <time-end>, were fortified camps, characterized by the presence of a ditch, present or absent in the military practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,42,"Was the fortified camp, characterized by large stone structures built to protect against enemies, a prevalent feature of Senusret I's reign in ancient Egypt between <time-start> and <time-end>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,43,"During the period from <time-start> to <time-end>, were crenellated walls around dwellings, commonly found from the Amratian Period (Naqada I) onwards, considered as a fortified camp or not in the military practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,44,"During the period from <time-start> to <time-end>, were fortified camps, characterized by crenellated walls around dwellings, a common feature in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,45,"During the period from <time-start> to <time-end>, were fortified camps, characterized by crenellated walls around dwellings, present or absent in the military practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,46,"During the period from <time-start> to <time-end>, was the fortress of Sile, described as an important stronghold on the landbridge connecting the Egyptian Delta with Syria-Palestine, considered a fortified camp according to Gnirs' definition of fortification architecture and techniques of siege being the basic means of warfare by the third millennium BCE? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,47,"During the period from <time-start> to <time-end>, was the use of fortified camps as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,48,"During the reign of Pepi I (2289-2255 BCE), was the use of fortified camps as a military strategy present or absent in the campaign of the pharaoh in Nubia? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,49,"During the period from <time-start> to <time-end>, was the use of fortified camps as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,50,"During the period from <time-start> to <time-end>, were fortified camps, characterized by walls, palisades, and other defensive structures, an important aspect of warfare strategy for '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,51,"The absence or presence of fortified camps as a military technology used in warfare. During the period from <time-start> to <time-end>, were fortified camps present or absent in the military strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,52,"During the period from <time-start> to <time-end>, was the use of fortified camps, as described by Seidlmayer (2003, 121), an expansionist Theban state's military strategy present or absent in their practice of building garrisons? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,53,"During the period from <time-start> to <time-end>, was the fortified camp as described by Herodotus present or absent in the military strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/fortified-camps/,54,The presence or absence of fortified camps as a military technology used in warfare during the period from <time-start> to <time-end> in the context of '<polity>'. <answer-options>.
