endpoint_identifier,entry_idx,output
wf/tension-siege-engines,0,"During the period from 1747 CE to 1826 CE, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of 'Durrani Empire'? Strictly choose the correct label from an unordered set: {B, A, C}. B = absent, A = present, C = unsure (cannot determine from current evidence)"
wf/tension-siege-engines,1,"During the period from 1025 CE to 1215 CE, was the use of the catapult, a siege engine that throws projectiles, present or absent in the warfare practices of 'Ghur Principality'? Strictly choose the correct label from an unordered set: {C, A, B}. C = unsure (cannot determine from current evidence), A = present, B = absent"
wf/tension-siege-engines,2,"During the period from 256 BCE to 125 BCE, was the use of tension siege engines, which were present in Alexander's army and successor states, present or absent as a military technology in the warfare practices of 'Greco-Bactrian Kingdom'? Strictly choose the correct label from an unordered set: {A, C, B}. A = present, C = unsure (cannot determine from current evidence), B = absent"
wf/tension-siege-engines,3,"During the period from 408 CE to 561 CE, was the use of tension siege engines, which were present in previous and subsequent polities, present or absent as a military technology in the warfare practices of 'Hephthalite Empire'? Strictly choose the correct label from an unordered set: {B, C, A}. B = absent, C = unsure (cannot determine from current evidence), A = present"
wf/tension-siege-engines,4,"During the period from 388 CE to 477 CE, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of 'Kidarite Kingdom'? Strictly choose the correct label from an unordered set: {B, A, C}. B = absent, A = present, C = unsure (cannot determine from current evidence)"
wf/tension-siege-engines,5,"During the period from 35 CE to 319 CE, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of 'Kushan Empire'? Strictly choose the correct label from an unordered set: {B, A, C}. B = absent, A = present, C = unsure (cannot determine from current evidence)"
wf/tension-siege-engines,6,"During the period from 129 BCE to 29 CE, was the use of tension siege engines, defined as a type of siege engine that uses a system of ropes and pulleys to lift and drop heavy objects, present or absent as a military technology in the warfare practices of 'Tocharians'? Strictly choose the correct label from an unordered set: {B, A, C}. B = absent, A = present, C = unsure (cannot determine from current evidence)"
wf/tension-siege-engines,7,"During the period from 25 CE to 220 CE, was the use of siege crossbows and traction trebuchets, early versions of siege crossbows and traction trebuchets may be noted in the accounts of the wars of the Qin and Han dynasties, and appear in the early military writings associated with the name of Mo Zi, present or absent as a military technology in the warfare practices of 'Eastern Han Empire'? Strictly choose the correct label from an unordered set: {C, A, B}. C = unsure (cannot determine from current evidence), A = present, B = absent"
wf/tension-siege-engines,8,"During the period from 265 CE to 317 CE, was the use of siege equipment, specifically artillery, moveable towers, artificial mounds, and scaling ladders, present or absent in the warfare strategies of 'Western Jin'? Strictly choose the correct label from an unordered set: {B, A, C}. B = absent, A = present, C = unsure (cannot determine from current evidence)"
wf/tension-siege-engines,9,"During the period from 1650 BCE to 1250 BCE, was the use of siege engines, specifically those not present until the Warring States period, present or absent in the warfare strategies of 'Erligang'? Strictly choose the correct label from an unordered set: {C, A, B}. C = unsure (cannot determine from current evidence), A = present, B = absent"
