endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/self-bows/,0,"During the period from <time-start> to <time-end>, were Uzbek contingents and other tribal groups equipped with bows, referred to as the ""Self Bow,"" present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,1,"During the period from <time-start> to <time-end>, was self-bow, defined as a bow that can be fired by the individual holding it, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,2,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow commonly used by the Bactrian Greeks who adopted the fighting style of the Macedonians, present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,3,"In the period from <time-start> to <time-end>, were powerful composite bows considered to be obsolete in the military technology of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,4,"During the period from <time-start> to <time-end>, was the self-bow, defined as an archer's weapon with a bow made of one piece of wood or horn, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,5,"Based on the information provided in the reference section, did the armies of Bactria between 70 BC and 450 AD use both composite bows and self-bows as part of their military technology for warfare? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,6,"Was the self-bow, defined as a type of bow that is likely made obsolete by composite bows, absent or present as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,7,"During the period from <time-start> to <time-end>, was the self-bow, defined as a bow that an individual could use without assistance, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,8,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow that can be held by one hand, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,9,"During the period from <time-start> to <time-end>, was the use of self-bows as a military technology present or absent in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,10,"During the period from <time-start> to <time-end>, were arrowheads made of bone, ge (a type of stone), or a combination of both materials present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,11,"During the period from <time-start> to <time-end>, was self-bow as a military technology present or absent in the warfare practices of '<polity>'? Please provide an expert opinion on whether it can be considered as a military technology, given its description of being an individual shooting weapon. <answer-options>."
https://seshat-db.com/api/wf/self-bows/,12,"During the period from <time-start> to <time-end>, did the use of self-bows as a military technology exist in the warfare strategies of '<polity>'? Please note that this is a complex topic and requires expert input to accurately define and categorize the use of self-bows in warfare. <answer-options>."
https://seshat-db.com/api/wf/self-bows/,13,"During the period from <time-start> to <time-end>, was self-bow, inferred as the absence of composite bows as the primary military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,14,"During the period from <time-start> to <time-end> at Miaodigou II (Early Longshan) sites in Central Henan, was the use of self-bows as a military technology present or absent in the warfare practices of the local population? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,15,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow that can be drawn by one person, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,16,"During the period from <time-start> to <time-end>, was the use of self-bows as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,17,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow that relies on the archer's own arm strength to launch an arrow, considered to be a significant military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,18,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow wielded by horse-mounted soldiers, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,19,"Was the self-bow, defined as an arrow with bone points used by ancient humans, present or absent in warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,20,"During the period from <time-start> to <time-end>, was the self-bow, defined as the traditional weapon of the Banner troops consisting of a bow and arrow, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,21,"During the period from <time-start> to <time-end>, were self-bows, defined as bows and arrows, a mainstay for the bannermen soldiers in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,22,"During the period from <time-start> to <time-end>, was the use of self-bows, inferred from the presence of selfbows from previous and subsequent polities in the Middle Yellow River Valley, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,23,"During the period from <time-start> to <time-end>, was the self-bow, defined as a composite bow, used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,24,"Was the use of self-bows, defined as bows made entirely of one material and without any mechanical components, uncommon or common during the period from <time-start> to <time-end> in the context of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,25,"During the period from <time-start> to <time-end>, was the self bow, defined as a type of bow that uses tension from a single string instead of two separate strings, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,26,"During the period from <time-start> to <time-end>, was the use of self bows inferred from the presence of self bows in previous and subsequent polities in the Middle Yellow River Valley, a significant aspect of their military technology in warfare? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,27,"Was the self-bow, defined as a bow used by Han infantry and cavalry, present or absent as a military technology in the warfare practices of '<polity>' between <time-start> and <time-end>? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,28,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow made of wood and sinew or other flexible material, present but possibly not used in warfare by the people of '<polity>'? Please note that the sources may refer to a more powerful composite bow as the weapon used in warfare. <answer-options>."
https://seshat-db.com/api/wf/self-bows/,29,"During the period from <time-start> to <time-end>, were self-bows, defined as composite bows made of wood, sinew, and tendon, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,30,"During the period from <time-start> to <time-end>, was self-bow (a type of bow that can be fired without the assistance of a string) present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,31,"During the period from <time-start> to <time-end>, was the use of self-bows as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,32,"During the period from <time-start> to <time-end>, was the self-bow, which was made from the sapwood of the Dactyocaryum schultzei palm and was important for making archers' bows and other tools, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,33,"During the period from <time-start> to <time-end>, was the self-bow, defined as a type of bow and arrow used by some indigenous groups, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,34,"Was the self-bow, defined as a type of bow and arrow used until the late 17th century and later replaced with blowguns, present or absent as a military technology in the warfare practices of '<polity>' between the years of <time-start> and <time-end>? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,35,"During the period from <time-start> to <time-end>, was the self-bow, defined as an ordinary bow and arrow used by most other South American Indians, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,36,"During the period from <time-start> to <time-end>, was the self-bow, defined as a simple bow such as the long Nubian bow used in the Siege of Acre, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/self-bows/,37,"During the period from <time-start> to <time-end>, was the self-bow, defined as an ancient hunting tool potentially evolved into a weapon, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
