endpoint_identifier,entry_idx,output
wf/self-bows,0,"During the period from 1747 CE to 1826 CE, were Uzbek contingents and other tribal groups equipped with bows, referred to as the ""Self Bow,"" present or absent as a military technology in the warfare practices of 'Durrani Empire'? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,1,"During the period from 1025 CE to 1215 CE, was self-bow, defined as a bow that can be fired by the individual holding it, present or absent as a military technology in the warfare practices of 'Ghur Principality'? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,2,"During the period from 256 BCE to 125 BCE, was the self-bow, defined as a type of bow commonly used by the Bactrian Greeks who adopted the fighting style of the Macedonians, present or absent as a military technology in the warfare practices of 'Greco-Bactrian Kingdom? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,3,"In the period from 408 CE to 561 CE, were powerful composite bows considered to be obsolete in the military technology of 'Hephthalite Empire'? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,4,"During the period from 388 CE to 477 CE, was the self-bow, defined as an archer's weapon with a bow made of one piece of wood or horn, present or absent as a military technology in the warfare practices of 'Kidarite Kingdom'? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,5,"Based on the information provided in the reference section, did the armies of Bactria between 70 BC and 450 AD use both composite bows and self-bows as part of their military technology for warfare? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,6,"Was the self-bow, defined as a type of bow that is likely made obsolete by composite bows, absent or present as a military technology in the warfare practices of 'Tocharians' during the period from 129 BCE to 29 CE? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,7,"During the period from 25 CE to 220 CE, was the self-bow, defined as a bow that an individual could use without assistance, present or absent in the warfare practices of 'Eastern Han Empire'? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,8,"During the period from 265 CE to 317 CE, was the self-bow, defined as a type of bow that can be held by one hand, present or absent as a military technology in the warfare practices of 'Western Jin'? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,9,"During the period from 1650 BCE to 1250 BCE, was the use of self-bows as a military technology present or absent in the warfare practices of 'Erligang? Please answer strictly with either 'present' or 'absent'."
wf/self-bows,10,"During the period from 1850 BCE to 1600 BCE, were arrowheads made of bone, ge (a type of stone), or a combination of both materials present as a military technology in the warfare practices of 'Erlitou'? Please answer strictly with either 'present' or 'absent'."
