endpoint_identifier,entry_idx,output
wf/atlatls,0,"During the period from 1747 CE to 1826 CE, was the use of atlatls, defined as a spear-throwing device used in warfare in the Americas, present or absent in the warfare practices of 'Durrani Empire'? Please answer strictly with either 'present' or 'absent' only."
wf/atlatls,1,"Was the atlatl, defined as a spear-throwing device used by indigenous peoples in the Americas, a military technology present or absent during the period from 1025 CE to 1215 CE in the warfare practices of 'Ghur Principality'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,2,"During the period from 256 BCE to 125 BCE, was the atlatl, a weapon of the Americas, absent or present as a military technology in the warfare practices of 'Greco-Bactrian Kingdom'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,3,"Was the atlatl, defined as an ancient weapon commonly found in the Americas and characterized by its simplicity and effectiveness, present in the warfare practices of 'Hephthalite Empire' during the period from 408 CE to 561 CE? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,4,"During the period from 388 CE to 477 CE, was the atlatl, defined as a spear-throwing device used by indigenous peoples in the Americas, present or absent as a military technology in the warfare practices of 'Kidarite Kingdom'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,5,"During the period from 35 CE to 319 CE, was the atlatl, a weapon of the Americas characterized by its long, lightweight shaft and curved blade, present or absent as a military technology in the warfare practices of 'Kushan Empire'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,6,"Was the atlatl, a weapon of the Americas, absent or present in the warfare practices of 'Tocharians' during the period from 129 BCE to 29 CE? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,7,"During the period from 25 CE to 220 CE, was the atlatl, defined as a spear-throwing device used in warfare, present or absent as a military technology in the warfare practices of 'Eastern Han Empire'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,8,"During the period from 265 CE to 317 CE, was the use of atlatls as a military technology present or absent in the warfare practices of 'Western Jin' in the New World? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,9,"During the period from 1650 BCE to 1250 BCE, was the use of atlatl, defined as a spear-throwing device used to increase the range and force of a projectile, present or absent in the warfare practices of 'Erligang' in the New World? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,10,"During the period from 1850 BCE to 1600 BCE, was the use of atlatls, defined as a spear-throwing device used in warfare, present or absent in the warfare practices of 'Erlitou' in the New World? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,11,Variable name: Atlatl Definition: The absence or presence of atlatl as a military technology used in warfare Time period: 1895 CE to 1941 CE Location: Hmong - Early Chinese Answer options: Present Absent Please answer strictly with either 'present' or 'absent'
wf/atlatls,12,"Variable name: Atlatl
Variable description: An ancient spear-throwing device used for hunting, fishing, and warfare.
During the period from 1701 CE to 1895 CE, was the use of atlatls as a military technology present or absent in the warfare strategies of 'Hmong - Late Qing'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,13,"During the period from 780 BCE to 404 BCE, was the atlatl, defined as an unlikely new world weapon, present or absent as a military technology in the warfare practices of 'Jin'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,14,"During the period from 3000 BCE to 1900 BCE, was the atlatl, defined as a spear-throwing device used in warfare, present or absent in the Americas? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,15,"During the period from 1115 CE to 1234 CE, was the use of atlatls, defined as a spear-throwing device used to increase the range and force of a projectile, present or absent as a 'military technology during this time' in 'Jin Dynasty'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,16,"During the period from 1368 CE to 1644 CE, was the atlatl, defined as a spear-throwing device used by indigenous peoples in the Americas, present or absent as a military technology in the warfare practices of 'Great Ming'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,17,"During the period from 960 CE to 1127 CE, was the atlatl, defined as an unlikely weapon from the New World, present or absent in the warfare practices of 'Northern Song'? Please answer strictly with either 'present' or 'absent'."
wf/atlatls,18,"Was the atlatl, defined as a spear-throwing device, an uncommon or common military technology in the Americas during the period from 386 CE to 534 CE in 'Northern Wei'? Please answer strictly with either 'present' or 'absent'."
