endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/earth-ramparts/,0,Present.
https://seshat-db.com/api/wf/earth-ramparts/,1,Present.
https://seshat-db.com/api/wf/earth-ramparts/,2,"The mud wall at the city of Taxila, referred to as an Earth Rampart, was present in the warfare practices of the Greco-Bactrian Kingdom during the period from 256 BCE to 125 BCE."
https://seshat-db.com/api/wf/earth-ramparts/,3,Present.
https://seshat-db.com/api/wf/earth-ramparts/,4,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,5,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,6,"Based on available historical evidence, it is not possible to definitively determine whether earth ramparts were used by Tocharians during the period from 129 BCE to 29 CE. Therefore, the answer to the question is ""absent."""
https://seshat-db.com/api/wf/earth-ramparts/,7,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,8,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,9,Present.
https://seshat-db.com/api/wf/earth-ramparts/,10,B. No
https://seshat-db.com/api/wf/earth-ramparts/,11,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,12,Absent. Earth ramparts were not commonly used in the warfare practices of Hmong-Late Qing during the period from 1701 CE to 1895 CE.
https://seshat-db.com/api/wf/earth-ramparts/,13,Present.
https://seshat-db.com/api/wf/earth-ramparts/,14,Present.
https://seshat-db.com/api/wf/earth-ramparts/,15,Absent. Earth ramparts were not a significant part of the military practices of the Jin Dynasty during the period from 1115 CE to 1234 CE.
https://seshat-db.com/api/wf/earth-ramparts/,16,Present.
https://seshat-db.com/api/wf/earth-ramparts/,17,Present
https://seshat-db.com/api/wf/earth-ramparts/,18,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,19,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,20,"The presence or absence of willow palisades as a defensive structure in early Qing warfare practices cannot be confirmed based on the given time frame of 1644-1796 CE. The construction and use of willow palisades were a common practice in Chinese history, but their specific use during the Early Qing period is not clear without further information or historical records. Therefore, the answer is ""absent""."
https://seshat-db.com/api/wf/earth-ramparts/,21,Absent.
https://seshat-db.com/api/wf/earth-ramparts/,22,"Based on historical records and archaeological evidence, it can be inferred that walled settlements with stamped earth foundations were present during the Late Shang period (1250 BCE to 1045 BCE) as a military technology in warfare practices. The use of walls for defensive purposes was common among many ancient societies, including the Shang Dynasty, which is known for its advanced fortifications and defensive structures. The presence of these types of settlements suggests that the Shang were skilled at military strategy and tactics, and likely used them to defend themselves against enemy attacks."
