endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/steels/,0,"During the period from <time-start> to <time-end>, was steel used for armor present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,1,"During the period from <time-start> to <time-end>, was steel, which was manufactured in Ghur and exported to neighboring areas, present as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,2,"During the period from <time-start> to <time-end> in the context of '<polity>', was high-quality steel, including that made of small metal rings linked together in a pattern to form a mesh, a common military technology? <answer-options>."
https://seshat-db.com/api/wf/steels/,3,"During the period from <time-start> to <time-end> in the context of '<polity>', was high-quality steel, including habergeon made of small metal rings linked together in a pattern to form a mesh, present or absent as a military technology? <answer-options>."
https://seshat-db.com/api/wf/steels/,4,"Was high-quality steel, as defined as armor made of small metal rings linked together in a pattern to form a mesh, used in the military technology of ""<polity>"" during the period from <time-start> to <time-end>? (yes/no)
Note: Please specify the polity and time range for the question."
https://seshat-db.com/api/wf/steels/,5,"During the period from <time-start> to <time-end> in the context of '<polity>', was high-quality steel, defined as armor made of small metal rings linked together in a pattern to form a mesh, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,6,"During the period from <time-start> to <time-end> in the context of '<polity>', was high-quality steel, specifically referred to as ""crucible steel,"" present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,7,"Was high-quality steel, as defined as armor made of small metal rings linked together in a pattern to form a mesh, used as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/steels/,8,"During the period from <time-start> to <time-end>, was there an instance of the production or use of first high-quality steel (Wootz steel) as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,9,"During the period from <time-start> to <time-end>, was there an increase in the production and use of steel as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,10,"During the period from <time-start> to <time-end>, was steel, defined as an iron alloy containing carbon, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,11,"During the period from <time-start> to <time-end>, was steel, defined as an iron alloy that is stronger and more durable than pure iron, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,12,"During the period from <time-start> to <time-end>, was the use of steel as a material for making weapons, including guns, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,13,"During the period from <time-start> to <time-end>, was the use of steel, specifically firearms, as a military technology present or absent in the warfare practices of '<polity>'? Please note that the Hmong started acquiring firearms at an unknown time. <answer-options>."
https://seshat-db.com/api/wf/steels/,14,"During the period from <time-start> to <time-end>, was steel used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,15,"During the Spring and Autumn period, was the use of steel-made weaponry, specifically 'folded hundred times steel' casting method and various polishing techniques, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,16,"During the period from <time-start> to <time-end>, was steel, defined as an iron alloy containing carbon in sufficient quantities to give it strength, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,17,"The absence or presence of steel as a military technology used in warfare. During the period from <time-start> to <time-end>, was steel present or absent as a material for creating weapons and armor in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,18,"During the period from <time-start> to <time-end>, was high-quality steel, specifically reserved for weapon manufacturing, available as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,19,"During the period from <time-start> to <time-end>, was the production and use of Wootz steel, a type of high-quality steel characterized by its unique microstructure, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,20,"During the period from <time-start> to <time-end>, was steel, a type of metal made through various processes such as melting, refining, and casting, present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,21,"During the period from <time-start> to <time-end>, were bone and stone tools, as well as ceramics, considered a form of military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,22,"During the period from <time-start> to <time-end>, were steel sabres, as described in Tom's book chapter 2001, page 207-222, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,23,"During the period from <time-start> to <time-end>, was steel, specifically sabres and short swords, present or absent as a projectile technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,24,"During the period from <time-start> to <time-end>, was steel present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,25,"During the period from <time-start> to <time-end>, was it possible for <polity> to produce first high-quality steel, characterized by its ability to cut through thirty plates, and was it used in the production of weapons or armor? <answer-options>."
https://seshat-db.com/api/wf/steels/,26,"During the period from <time-start> to <time-end>, was wootz steel, a type of high-quality steel discovered in India and later manufactured in China, being used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,27,"During the period from <time-start> to <time-end>, was wootz steel, characterized as being exported from India to China starting at least in the +5th century, considered a 'military technology' in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,28,"During the period from <time-start> to <time-end>, was steel, defined as a type of iron with a carbon content greater than 0.2%, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,29,"During the period from <time-start> to <time-end>, was steel an available military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,30,"<variable-name>: Steel Was steel, defined as an iron-based alloy containing carbon, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/steels/,31,"During the period from <time-start> to <time-end>, did battles primarily consist of weapons made of stone and wood, or did the introduction of steel as a military technology play a significant role in warfare practices within '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,32,"During the period from <time-start> to <time-end>, was steel present or absent as a primary material used in the production of weapons and armor in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,33,"During the period from <time-start> to <time-end>, was the use of steel objects, such as axes, machetes, and halberds, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,34,Was iron (defined as a metal alloy consisting primarily of carbon and iron) present or absent in the metal objects found during shovel test sampling at Pueblito and in other archaeological sites within the territory of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/steels/,35,"During the period from <time-start> to <time-end>, was the use of steel as a tool or weapon present or absent among the Shuar people of the Ecuadorian period? <answer-options>."
https://seshat-db.com/api/wf/steels/,36,"During the period from <time-start> to <time-end>, was steel (specifically, machetes and steel lance heads) a common material used in warfare by the Shuar people living in the area around Gualaquiza and Macas, despite the fact that the Jesuits had withdrawn from the region? <answer-options>."
https://seshat-db.com/api/wf/steels/,37,"During the period from <time-start> to <time-end>, was steel, specifically steel helmets, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,38,"During the period from <time-start> to <time-end>, was steel used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,39,"During the period from <time-start> to <time-end>, was steel used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,40,"During the period from <time-start> to <time-end>, was steel present or absent as a material for the production of weapons and armor in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,41,"During the period from <time-start> to <time-end>, was steel present as a material for armor or weapons in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,42,"Was steel, defined as iron refined to a high degree of purity and hardness, available for use in weaponry during the time period from <time-start> to <time-end> in the context of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,43,"During the period from <time-start> to <time-end>, was steel, specifically referring to the production of high-quality arms and armor in Damascus by craftsman under close supervision of the Mamluk authorities, present or absent in the military technologies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,44,"During the period from <time-start> to <time-end>, was real steel, as defined as high-quality arms produced in Damascus under close supervision of the Mamluk authorities to prevent cheating or decline in standards, present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,45,"Was steel, defined as a type of metal characterized by its high strength and durability, available as a material for military technology during the period from <time-start> to <time-end> in the context of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,46,"Was steel, defined as an iron alloy containing carbon in sufficient quantity to give it strength, absent or present as a military technology during the period from <time-start> to <time-end> in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,47,"<time-start>: 10th century BCE <time-end>: 19th century CE In the context of '<polity>', was steel not utilized as a military technology during this time? <answer-options>."
https://seshat-db.com/api/wf/steels/,48,The steel variable is not applicable in this time period. Please provide a different variable for me to create an exam question based on its description.
https://seshat-db.com/api/wf/steels/,49,"During the period from <time-start> to <time-end>, was steel present or absent as a material used in the construction of weapons and armor in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,50,"Was steel, defined as an alloy of iron and carbon, available as a material for military technologies during the period from <time-start> to <time-end> in the context of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,51,"During the period from <time-start> to <time-end>, was steel, defined as an iron-based alloy containing carbon, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,52,"During which time period was steel, defined as a type of iron alloy, commonly used as a material in weapons and armor? <answer-options>."
https://seshat-db.com/api/wf/steels/,53,"During the period from <time-start> to <time-end>, was steel used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,54,The absence or presence of steel as a military technology used in warfare.
https://seshat-db.com/api/wf/steels/,55,"During the period from <time-start> to <time-end>, was steel, defined as an iron-based alloy with carbon content between 0.05% and 2.1%, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,56,"During the period from <time-start> to <time-end>, was steel, defined as a type of iron alloy containing carbon, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,57,"During the period from <time-start> to <time-end>, was steel as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,58,"During the period from <time-start> to <time-end>, was steel, defined as a strong and durable alloy of iron and carbon, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,59,"Was steel, defined as an iron alloy containing carbon, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/steels/,60,"During the period from <time-start> to <time-end>, was steel, specifically steel flintlocks and steel gauntlets, present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,61,"During the period from <time-start> to <time-end>, was steel, defined as an alloy of iron and carbon, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,62,"During the period from <time-start> to <time-end>, was iron and steel used in warfare by the Trukese people? <answer-options>."
https://seshat-db.com/api/wf/steels/,63,"During the period from <time-start> to <time-end>, was steel, defined as iron and steel tools acquired through trade with other islands, present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/steels/,64,What was the availability of steel as a material for military technology in the period from <time-start> to <time-end> in the context of '<polity>? <answer-options>.
https://seshat-db.com/api/wf/steels/,65,"During the period from <time-start> to <time-end>, was steel present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,66,"Section 142 refers to Jeff Horn's book, ""The Path Not Taken: French Industrialization in the Age of Revolution, 1750-1830"". During the period from <time-start> to <time-end>, was steel, as described in Horn's book, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,67,"During the period from <time-start> to <time-end>, was steel, defined as an iron alloy containing carbon in sufficient quantity to give it strength and elasticity, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,68,"Variable name: Steel <time-start>: 14th century <time-end>: 16th century <polity>: Europe During the period from <time-start> to <time-end>, was steel, specifically carbon steel, present or absent in the production of swords and other weapons in '<polity>'? <answer-options>: Present Absent"
https://seshat-db.com/api/wf/steels/,69,"During the period from <time-start> to <time-end>, was steel, defined as a type of iron with a higher carbon content that can be hardened through quenching, present or absent as a military technology in the sword-making of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,70,"During the period from <time-start> to <time-end>, was steel, defined as a type of metal consisting primarily of carbon and iron, used as a material for swords and other weapons in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,71,"During the period from <time-start> to <time-end>, was crucible steel, a type of steel characterized by its high carbon content and ability to be hardened through quenching, present or absent as a military technology in the sword-making practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,72,"During the period from <time-start> to <time-end>, was steel present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,73,The absence or presence of steel as a military technology used in warfare.
https://seshat-db.com/api/wf/steels/,74,The absence or presence of steel as a military technology used in warfare. <answer-options>.
https://seshat-db.com/api/wf/steels/,75,"During the period from <time-start> to <time-end>, was steel, defined as an iron bar that had undergone significant coldworking to high hardness and displayed slip lines and Neumann bands, present or absent as a military technology in the manufacturing processes of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,76,"Variable name: High-quality steel availability
Variable description: Evidence for the availability of high-quality steel in Europe during the medieval period.
Was high-quality steel readily available in Europe during the medieval period, as evidenced by the use of Indian swords among Charlemagne's vassals and descriptions of such swords being superior to the European steel swords of the time? <answer-options>."
https://seshat-db.com/api/wf/steels/,77,"During the period from <time-start> to <time-end>, was high-quality steel, characterized by its superior strength and durability compared to other materials, present or absent in the production of swords and other weapons used by the military forces of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,78,"During the period from <time-start> to <time-end>, were high-quality steel swords used by the military in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,79,"During the period from <time-start> to <time-end>, was there evidence for the production and use of high-quality steel, specifically referring to swords such as the spatha indica mentioned in Charlemagne's vassal's will, and the comparison made between Frankish and Indian swords by Ibn Hudhayl, suggesting it was far superior to the steel swords possessed by the Franks, as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,80,"Variable name: High-quality steel
Variable description: Evidence for the existence of high-quality steel during the medieval period in Europe. 
Question template: Did high-quality steel, characterized by its superior quality compared to contemporary European swords, exist in Europe during the period from <time-start> to <time-end>? <answer-options>. 

Answer options: 
1. Yes 
2. No"
https://seshat-db.com/api/wf/steels/,81,"Was high-quality steel, defined as one of Charlemagne's vassals leaving an Indian sword in his will, available during the period from <time-start> to <time-end> in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/steels/,82,"During the period from <time-start> to <time-end>, did the Celts, known for their various methods of 'steeling', including false-damascening and Noric steel, utilize steel as a military technology in their warfare practices in '<polity>'? <answer-options>."
