endpoint_identifier,entry_idx,output
https://seshat-db.com/api/ec/luxury-fabrics/,0,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,1,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,2,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,3,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,4,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,5,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,6,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,7,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,8,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,9,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,10,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,11,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,12,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,13,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,14,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,15,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,16,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,17,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,18,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,19,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,20,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,21,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,22,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,23,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,24,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,25,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,26,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,27,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,28,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,29,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,30,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,31,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,32,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,33,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,34,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,35,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,36,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
https://seshat-db.com/api/ec/luxury-fabrics/,37,"During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?keduser
kedassistant
During the period from <time-start> to <time-end>, was the use of luxury fabrics, defined as fabrics that were expensive and exclusive, present or absent as a military technology in the warfare practices of '<polity>'?"
