endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/handheld-firearms/,0,"During the period from <time-start> to <time-end>, was the use of handheld firearms, primarily matchlocks made in Kabul, Sind and other areas, present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,1,"During the period from <time-start> to <time-end>, was the handheld firearm, defined as an early type of weapon that uses gunpowder as its propellant, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,2,"During the period from <time-start> to <time-end>, were handheld firearms, inferred as having developed after the introduction of matchlocks, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,3,"During the period from <time-start> to <time-end>, were handheld firearms, defined as weapons that can be easily held by one person and fired using a matchlock mechanism, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,4,"During the period from <time-start> to <time-end>, were handheld firearms, defined as weapons that can be held and fired by a single individual without the need for a support stand or mechanical assistance, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,5,"During the period from <time-start> to <time-end>, was the handheld firearm, inferred as coming later in history and characterized by a matchlock mechanism, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,6,Was handheld firearms absent before the gunpowder era in the warfare practices of '<polity>? <answer-options>.
https://seshat-db.com/api/wf/handheld-firearms/,7,"During the period from <time-start> to <time-end>, were handheld firearms, defined as gunpowder-based weapons designed for personal combat, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,8,"During the period from <time-start> to <time-end>, was the handheld firearm, defined as a weapon that uses gunpowder to propel a projectile, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,9,"During the period from <time-start> to <time-end>, were handheld firearms available or not as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,10,"During the period from <time-start> to <time-end>, were handheld firearms, defined as guns powered by gunpowder that were not invented until several thousand years later, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,11,"During the period from <time-start> to <time-end>, were handheld firearms, including shotguns, hand guns, swords, and spears, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,12,"During the period from <time-start> to <time-end>, were firearms, defined as handheld weapons that utilize gunpowder propulsion, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,13,"During the period from <time-start> to <time-end>, was handheld firearm, defined as a type of firearm that can be held and fired by one person, commonly powered by gunpowder, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,14,"During the period from <time-start> to <time-end>, were handheld firearms, such as hand cannons and muskets, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,15,"During the period from <time-start> to <time-end>, were handheld firearms, defined as devices capable of firing projectiles such as shrapnel or pellets, present or absent in the warfare practices of '<polity>'? Please note that these references refer to different periods, with different techniques and weapons. Which period are you referring to? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,16,"<time-start>13th century CE</time-end><time-start>14th century CE</time-end>
<polity>Later Jin or Southern Song</polity>
Was the use of handheld firearms, specifically fire-spears and fire-tubes, present or absent in the warfare practices of Later Jin or Southern Song? Please note that ""fire-spear"" refers to a primitive firearm that uses shrapnel of various kinds, while ""fire-tube"" refers to a primitive firearm that uses iron to make a barrel three feet long with a handle two feet long. <answer-options>Both Both Both Present Absent Neither</answer-options>"
https://seshat-db.com/api/wf/handheld-firearms/,17,"During the period from <time-start> to <time-end>, was handheld firearms, defined as small-caliber handguns and larger caliber artillery guns, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/handheld-firearms/,18,"During the period from <time-start> to <time-end>, were handheld firearms, defined as devices capable of being held and fired by one person, standard equipment in sieges, battles, and naval combat in '<polity>'? <answer-options>."
