endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/donkeys/,0,"During the period from <time-start> to <time-end>, were mules, defined as a crossbreed between a donkey and a horse, present as a means of transportation for soldiers and equipment in the military of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,1,"During the period from <time-start> to <time-end>, was the donkey absent or present as a domesticated animal for transportation and work purposes in the agricultural and commercial activities of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,2,"During the period from <time-start> to <time-end>, was donkey transportation a common means of carrying goods such as silk between the Pacific Ocean and the Mediterranean in the context of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,3,Was the use of donkeys as a means of transportation for carrying goods between regions absent or present in the ancient world? <answer-options>.
https://seshat-db.com/api/wf/donkeys/,4,"During the period from <time-start> to <time-end>, were donkeys used as pack animals to carry silk from the Pacific Ocean to the Mediterranean as described by R. K. Koslowsky in his book ""A World Perspective through 21st Century Eyes""? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,5,"During the period from <time-start> to <time-end>, were donkeys employed as pack animals for the transportation of goods in the region of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,6,"During the period from <time-start> to <time-end>, was the use of donkeys as supply train animals present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,7,"Was the donkey, used as pack animals, absent or present as a means of transportation during the period from <time-start> to <time-end> in the region of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,8,"During the period from <time-start> to <time-end>, was the use of donkeys as pack animals prevalent in the transportation systems of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,9,"Was the donkey, used as pack animals, absent or present in the transportation systems of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,10,"Can you please provide more information about the data that will be used to code the variable ""Donkey""? This will help me better understand the variable and provide an accurate coding schema."
https://seshat-db.com/api/wf/donkeys/,11,"Sure, I can provide some guidance on how to approach coding the ""Donkey"" variable.
The first step would be to identify the specific context in which the term ""Donkey"" is being used. Is it referring to a type of animal, a mode of transportation, or something else entirely?
Once you have identified the context, you can then determine what kind of data you will need to collect in order to measure the presence or absence of Donkeys. For example, if you were interested in tracking the number of Donkeys used by a particular group of people for transport purposes, you might collect data on the number of Donkeys owned by individuals or households within a certain geographic area.
In terms of coding the variable itself, there are several options depending on the specific context and goals of your research. One possibility would be to create a binary variable, with a value of 1 indicating the presence of Donkeys and a value of 0 indicating their absence. Another option might be to create a continuous variable, with values ranging from 0 to the maximum number of Donkeys observed within the specified time frame or geographic area.
It's also important to consider how you will handle missing data or cases where Donkeys are not present in the context you are studying. You may choose to exclude such cases from your analysis altogether, or you could develop methods for imputing missing values based on other relevant variables or contextual information.
Overall, the key to successfully coding the ""Donkey"" variable will depend on the specific research questions and goals you are trying to address. By carefully considering the context and needs of your study, you can develop a robust and reliable coding strategy that meets your research objectives."
https://seshat-db.com/api/wf/donkeys/,12,"During the period from <time-start> to <time-end>, was the use of donkeys as pack animals prevalent or uncommon in the region of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,13,"During the period from <time-start> to <time-end>, were donkeys used as pack animals in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,14,"During the period from <time-start> to <time-end>, was the use of donkeys as pack animals present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,15,"During the period from <time-start> to <time-end>, were dogs and pigs considered as domesticated animals according to the criteria defined in Liu and Chen (2012)? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,16,"During the period from <time-start> to <time-end>, did Zuo Zongtang use donkeys and camels for military transport in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,17,Was the donkey used as pack animals in warfare present or absent in the military strategies of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/donkeys/,18,"During the campaign against Koguryo in 613 CE, was the use of donkeys as pack animals by the Chinese army present or absent? <answer-options>: (a) Present (b) Absent"
https://seshat-db.com/api/wf/donkeys/,19,"During the period from <time-start> to <time-end>, were pack animals like donkeys utilized as a military technology in the defense of the capitals by the Intrepid Milita of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,20,"During the period from <time-start> to <time-end>, were pack animals like donkeys, defined as being used for transportation and carrying supplies, present or absent as a key component of the military strategy of '<polity>' in the context of the Intrepid Milita's role as defenders of the capital? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,21,"During the period from <time-start> to <time-end>, were donkeys commonly used as pack animals in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,22,"During the period from <time-start> to <time-end>, was the supply train in '<polity>' exclusively comprised of oxen, horses, mules, and camels or did it also include donkeys? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,23,"During the period from <time-start> to <time-end>, was the donkey, commonly used as pack animals, present or absent as a means of transportation in the society of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,24,Was donkey use as pack animals present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/donkeys/,25,"During the period from <time-start> to <time-end>, was the use of donkeys as a mode of transportation present or absent in the region of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,26,"During the period from <time-start> to <time-end>, were donkeys considered native or non-native to the region in which they were being utilized as a means of transportation for goods and people by the military in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,27,"Was the use of donkeys, described as animals accompanying warriors, present or absent in raids during the period from <time-start> to <time-end> in the context of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,28,"During the period from <time-start> to <time-end>, were donkeys used as animals accompanying warriors in the context of raids in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,29,"During the period from <time-start> to <time-end> in Mamluk Egypt, was the presence of donkeys, referred to as a riding animal in contemporary texts, inferred as a 'pack use' technology used in warfare? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,30,"During the period from <time-start> to <time-end>, were donkeys domesticated as a means of transportation in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,31,"During the period from <time-start> to <time-end>, were donkeys, defined as animals used for travel and trade, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,32,"During the Old Kingdom and the Middle Kingdom, was the donkey used as a means of land transportation present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,33,Was the donkey used as a pack animal in warfare present during the Saite period in '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/donkeys/,34,"During the period from <time-start> to <time-end> in Mamluk Egypt, was the presence of donkeys, defined as domesticated equines commonly used for transport and labor, particularly prominent in the city of Cairo? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,35,"During the period from <time-start> to <time-end> in Mamluk Egypt, was the use of donkeys as a military technology present or absent in their warfare practices? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,36,"During the period from <time-start> to <time-end>, was the use of donkeys as pack animals present in the military tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,37,"During the Old Kingdom and the Middle Kingdom of ancient Egypt, the donkey played a significant role in land transportation. Prior to 3000 BCE, donkeys in Upper Egypt were trained to carry loads. According to Robert Drews, the donkey was likely domesticated from the African wild ass in more than one place, but for the Nubian subspecies between 5500-4500 BCE in the Sudan. 
Was the donkey domesticated by ancient Egyptians during the Old Kingdom and Middle Kingdom? <answer-options> Yes/No"
https://seshat-db.com/api/wf/donkeys/,38,Was the donkey domesticated in the area of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/donkeys/,39,"During the period from <time-start> to <time-end>, was the use of donkeys as a means of transportation present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,40,"During the period from <time-start> to <time-end>, were donkeys present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,41,"The absence or presence of donkeys as a mode of transportation used in warfare.
During the period from <time-start> to <time-end>, was the use of donkeys as a mode of transportation present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,42,"Was the domestication of the donkey, possibly from the African wild ass, as a means of transportation present in ancient Egypt between the periods of <time-start> and <time-end>? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,43,"Was the use of donkeys as a means of transportation present or absent in the warfare practices of the Old Kingdom and Middle Kingdom of ancient Egypt, as described by Robert Drews in his book 'Militarism and the Indo-Europeanizing of Europe'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,44,"Was the donkey domesticated in ancient Egypt during the Old Kingdom and Middle Kingdom, and was it used for transportation purposes such as land transport and military logistical transport as depicted in the above passage? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,45,The absence or presence of donkeys as a means of transportation used for military purposes during the period from <time-start> to <time-end> in the context of '<polity>'. <answer-options>.
https://seshat-db.com/api/wf/donkeys/,46,The absence or presence of donkeys as a means of transportation used for military purposes during the period from <time-start> to <time-end> in the context of '<polity>'. Was donkey transport utilized or not? <answer-options>.
https://seshat-db.com/api/wf/donkeys/,47,"During the period from <time-start> to <time-end>, was the use of donkeys as a military technology present or absent in the transportation and logistics practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/donkeys/,48,"During the period from <time-start> to <time-end>, were domesticated donkeys, possibly used as pack animals in warfare for the first time in '<polity>', present or absent? <answer-options>."
