endpoint_identifier,entry_idx,output
https://seshat-db.com/api/wf/elephants/,0,"During the period from <time-start> to <time-end>, were war elephants, such as those used by the Indian armies and Ghaznavids, present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,1,"In which geographical region did elephants, characterized by their natural habitat in India and ability to supply other areas with the animal, occupy a significant presence during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,2,Was the use of elephants in warfare against Peroz present or absent during the period from <time-start> to <time-end> in the warfare strategies of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/elephants/,3,"The elephant, defined as a large land mammal with tusks and a trunk, was present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,4,"During the period from <time-start> to <time-end>, were elephant riders and native Indian auxiliaries with elephants included among the ranks of the main force of '<polity>'? <answer-options>"
https://seshat-db.com/api/wf/elephants/,5,"During the period from <time-start> to <time-end>, were elephants, defined as large land animals with tusks and long trunks, used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,6,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,7,"During the period from <time-start> to <time-end>, was the elephant, defined as an animal not present in the region, a significant factor in the military technology of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,8,"The variable ""Elephant"" appears to require expert input for coding. As such, it cannot be included in the current question template. If you have more information about the variable, please provide it and I will do my best to assist you in crafting a relevant question."
https://seshat-db.com/api/wf/elephants/,9,"I apologize, but I am unable to provide an answer to this question without more information about the variable ""Elephant."" Could you please provide a detailed definition or context for this variable so that I can assist you better?"
https://seshat-db.com/api/wf/elephants/,10,"During the period from <time-start> to <time-end>, was the elephant, defined as an animal not present in the region, a part of the local ecosystem? <answer-options>."
https://seshat-db.com/api/wf/elephants/,11,"During the period from <time-start> to <time-end>, were elephants used as a military technology by '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,12,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,13,Was elephant warfare an active aspect of military strategy in '<polity>' between <time-start> and <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,14,"During the period from <time-start> to <time-end>, were elephants, specifically those found at Xibeigang and Sanxingdui, used as military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,15,"Was the use of elephant-mounted soldiers, such as those seen in the Battle of Shaoxing, present in the warfare tactics of any polities in东亚 between <time-start> and <time-end>? Please note that elephants were used primarily by the Sui dynasty against the Champa kingdom but were not used by the Sui themselves. (Graff 2002, 145)
Answer options: [Yes] [No]"
https://seshat-db.com/api/wf/elephants/,16,"Was the elephant, an animal not present in the region, absent or present as a military technology during the period from <time-start> to <time-end> in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,17,Was the use of elephants as a military technology present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end> despite being not native to the region? <answer-options>.
https://seshat-db.com/api/wf/elephants/,18,"During the period from <time-start> to <time-end>, were elephants, which are not native to the region, used as a military technology by any of the armies in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,19,"During the period from <time-start> to <time-end>, were elephants used as military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,20,"During the period from <time-start> to <time-end>, were elephants used as military technology by the people of '<polity>' in their raids? <answer-options>."
https://seshat-db.com/api/wf/elephants/,21,"During the period from <time-start> to <time-end>, were elephants used as a military technology by '<polity>' for reconnaissance, siege warfare, or other purposes? <answer-options>."
https://seshat-db.com/api/wf/elephants/,22,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,23,"During the period from <time-start> to <time-end>, were elephants used as a military technology by any polities in the region? <answer-options>. Please note that the presence of elephants in warfare can vary depending on the specific time period and context, so please consider these factors when answering."
https://seshat-db.com/api/wf/elephants/,24,"During the period from <time-start> to <time-end>, were war elephants used by the Mamluks as a military technology in their warfare practices? <answer-options>."
https://seshat-db.com/api/wf/elephants/,25,"During the period from <time-start> to <time-end>, were war elephants used by the Mamluks in their military tactics in '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,26,"During the period from <time-start> to <time-end>, were war elephants used by the Mamluks as a military technology in their warfare practices? <answer-options>."
https://seshat-db.com/api/wf/elephants/,27,"During the period from <time-start> to <time-end>, was the long bronze dagger, which served as an intermediate stage before the introduction of the long straight sword, present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,28,"During the period from <time-start> to <time-end>, were elephants not used in the military practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,29,"During the period from <time-start> to <time-end>, were African elephants (forest type), as described by Ptolemy IV and Lloyd (2000), present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,30,"During the period from <time-start> to <time-end>, were African elephants, specifically African forest elephants, present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,31,"During the period from <time-start> to <time-end>, were North African elephants used as a military technology by the Ptolemies in their warfare practices? <answer-options>."
https://seshat-db.com/api/wf/elephants/,32,Was the use of elephants as a military technology present or absent in the warfare strategies of Kushite during the period from <time-start> to <time-end>? Please provide evidence or references to support your answer. <answer-options>.
https://seshat-db.com/api/wf/elephants/,33,"During the period from <time-start> to <time-end>, were elephants used in warfare by the people of '<polity>'? Please note that the usage of elephants was primarily for ceremonial purposes such as processions and ceremonies. <answer-options>."
https://seshat-db.com/api/wf/elephants/,34,Was the absence of elephants in previous polities in Cuzco considered as a defining characteristic of the polity? <answer-options>.
https://seshat-db.com/api/wf/elephants/,35,"During the period from <time-start> to <time-end>, were elephants, which are not native to the region, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,36,Was the use of elephants as a military technology present or absent in the region between <time-start> and <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,37,For which period from <time-start> to <time-end> was elephant未曾作为军事技术在'<polity>'的战争实践中使用？<answer-options>.
https://seshat-db.com/api/wf/elephants/,38,"Was the elephant, defined as a large land animal with tusks, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,39,Was the use of elephants absent as a military technology during the period from <time-start> to <time-end> in the warfare strategies of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/elephants/,40,Was the use of elephants as a military technology present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,41,"During the period from <time-start> to <time-end>, were elephants used as a military technology by '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,42,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,43,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,44,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,45,"During the period from <time-start> to <time-end>, were elephants present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,46,"During the period from <time-start> to <time-end>, were elephants used as a military technology by the army of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,47,"During the period from <time-start> to <time-end>, were elephants, specifically trained war elephants, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,48,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,49,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,50,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,51,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,52,<time-start> to <time-end>: Was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/elephants/,53,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,54,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,55,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,56,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,57,"During the period from <time-start> to <time-end>, were elephants, defined as large land mammals and specifically referring to those utilized in transportation for military purposes, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,58,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,59,"Elephant, defined as large land mammals of the family Elephantidae, was present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,60,"During the period from <time-start> to <time-end>, were elephants, characterized by their large size and tusks, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,61,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,62,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,63,"The absence or presence of elephants as a military technology used in warfare. During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,64,"During the period from <time-start> to <time-end>, were elephants used as a military technology by '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,65,"During the period from <time-start> to <time-end>, were elephants used as a military technology by the armies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,66,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,67,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,68,"Elephant: During the period from <time-start> to <time-end>, were elephants utilized as a military technology by any of the polities within the context? <answer-options>."
https://seshat-db.com/api/wf/elephants/,69,"During the period from <time-start> to <time-end>, were elephants used as a military technology by '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,70,Was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,71,"During the period from <time-start> to <time-end>, were there any instances of elephants being present in Hawaii, as recorded by historical accounts or archeological evidence? <answer-options>."
https://seshat-db.com/api/wf/elephants/,72,"Was there ever an instance where elephants were present in Hawaii within the time frame of <time-start> to <time-end>? Please note that this question specifically asks about the presence of elephants in Hawaii within the specified time frame, not about their general existence or use elsewhere. <answer-options>."
https://seshat-db.com/api/wf/elephants/,73,Was there an absence or presence of elephants in Hawaii as a military technology during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,74,"During the period from <time-start> to <time-end>, were elephants present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,75,Was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,76,Was the native species of elephant present or absent in the natural habitat of Java during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,77,"During the period from <time-start> to <time-end>, was the native species of elephant, known as Java elephant, present or absent in the wildlife of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,78,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,79,"During the period from <time-start> to <time-end>, were elephants, defined as large land animals used for transportation and warfare, present or absent in the military tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,80,"In the Mataram era, were elephants used as a means of transportation to meet the increasing demand for gunpowder? Please note that the usage of elephants for transportation purposes is an indirect indicator of the availability of gunpowder. <answer-options>."
https://seshat-db.com/api/wf/elephants/,81,"During the period from <time-start> to <time-end>, were elephants, defined as large land mammals used in warfare by their riders called maliman, present or absent in the military tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,82,Was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,83,"The absence or presence of elephants as a military technology used in warfare. During the period from <time-start> to <time-end>, were elephants present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,84,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,85,Was elephant warfare present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,86,"During the period from <time-start> to <time-end>, was the use of elephants, specifically as part of an army, present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,87,"During the period from <time-start> to <time-end>, was the use of war elephants by the Indian army, specifically in the role of the <i>kari-turaga (patta-)sahini</i>, present or absent? <answer-options> Yes No </answer-options>"
https://seshat-db.com/api/wf/elephants/,88,Was the use of elephants as a military technology present in the Satavahana army during the period from <time-start> to <time-end> in ancient India? <answer-options>.
https://seshat-db.com/api/wf/elephants/,89,"During the period from <time-start> to <time-end>, were elephants, specifically tamed and trained elephants, present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,90,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,91,"During the period from <time-start> to <time-end>, were elephants, trained for warfare purposes by the Satavahana army in the early first millennium CE, present or absent in the armies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,92,"Was the elephant, defined as a large land animal used as a powerful mounted weapon and a symbol of wealth and power, present as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,93,"During the period from <time-start> to <time-end>, were trained elephants used as a military technology in the warfare practices of '<polity>' as described in Buddhist texts? <answer-options>."
https://seshat-db.com/api/wf/elephants/,94,Was the use of elephants as a military technology present or absent in the warfare practices of India during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,95,Was the use of elephants in warfare present or absent during the period from <time-start> to <time-end> in the military strategy of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/elephants/,96,Was there evidence of elephants in the archaeological contexts described within the period from <time-start> to <time-end> in the area of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/elephants/,97,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,98,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,99,"During the period from <time-start> to <time-end>, were Elephants present or absent as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,100,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology by the Gupta Empire? <answer-options>."
https://seshat-db.com/api/wf/elephants/,101,"During the period from <time-start> to <time-end>, were war-elephants, as described by Arabic sources as being present in large numbers among the Hindu dynasties of India, used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,102,"During the period from <time-start> to <time-end>, were elephants present as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,103,Was the use of elephants as a military technology present or absent in the Indian army during the classical age as described by Suryanatha Kamath (A Concise History of Karnataka)? <answer-options>.
https://seshat-db.com/api/wf/elephants/,104,"Was it possible for the Kampi kingdom, as a small state, to maintain war elephants during the classical age in India? <answer-options>."
https://seshat-db.com/api/wf/elephants/,105,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,106,"During the period from <time-start> to <time-end>, were elephants, commonly found in Bengal, Kamrupa, and Orissa, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,107,Was elephant used as a military technology in warfare during the period from <time-start> to <time-end> in the context of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/elephants/,108,"During the period from <time-start> to <time-end>, were elephants, described as shock troops by a military historian and mentioned in the Arthashastra, present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,109,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,110,"During the period from <time-start> to <time-end>, were elephants absent or present in the warfare tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,111,"During the period from <time-start> to <time-end>, were elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,112,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,113,"During the period from <time-start> to <time-end>, were elephants, described as a fighting force divided into infantry, cavalry, and the elephant corps, present or absent as a significant part of the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,114,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,115,"During the period from <time-start> to <time-end>, were elephants used in warfare by the military forces of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,116,"During the period from <time-start> to <time-end>, was elephant warfare present or absent in the military practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,117,Was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,118,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,119,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,120,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,121,Was the elephant utilized as a military technology during the period from <time-start> to <time-end> in the warfare practices of '<polity>'? <answer-options>.
https://seshat-db.com/api/wf/elephants/,122,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,123,"During the period from <time-start> to <time-end>, were war elephants, specifically those originating from India and used by King Stabrobates to invade Assyria, present or absent in the military technologies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,124,"During the period from <time-start> to <time-end>, were domesticated donkeys, also known as elephants, present or absent as a type of animal used for labor and transportation in the ancient city of Uruk, located in Mesopotamia? <answer-options> Available options: [a] Present [b] Absent"
https://seshat-db.com/api/wf/elephants/,125,"During the period from <time-start> to <time-end>, were domesticated elephants, as depicted in the archaeological evidence from Uruk, Tell Rubeidheh, and Habuba Kabira in Iraq and Syria, present or absent in the cultural practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,126,The absence or presence of elephants as a military technology used in warfare. <answer-options>.
https://seshat-db.com/api/wf/elephants/,127,"During the period from <time-start> to <time-end>, was the use of elephants, specifically as a domesticated animal, present in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,128,"During the period from <time-start> to <time-end>, were elephants, specifically those imported from India by the Persians and later also by Darius III of Persia, present as a military technology in the warfare practices of '<polity>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,129,"Was the use of elephants in warfare absent or present during the period from <time-start> to <time-end> in the context of '<polity>' as mentioned by Andre Wink in his book Al-Hind: The Making of the Indo-Islamic World, Volume II? <answer-options>."
https://seshat-db.com/api/wf/elephants/,130,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,131,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,132,"Was elephant, defined as an animal used for warfare, present or absent in the armies of the Islamic dynasties of India during the period from <time-start> to <time-end> in the context of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,133,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,134,"Was the use of war elephants absent or present in the warfare practices of the Parthians, Seleucid Empire, and Elymaenians between <time-start> and <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,135,"During the period from <time-start> to <time-end>, were elephants used as a military technology by '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,136,"During the period from <time-start> to <time-end>, were elephants used as a military technology by the people of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,137,"During the period from <time-start> to <time-end>, was the use of elephants in warfare present or absent in the military practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,138,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,139,"During the period from <time-start> to <time-end>, were elephants used for military purposes by the people of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,140,"During the period from <time-start> to <time-end>, was the use of elephants in warfare present or absent in the military strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,141,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,142,"The absence or presence of elephants as a military technology used in warfare.
During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,143,Was the use of elephants as a military technology present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,144,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,145,The absence or presence of elephants as a military technology used in warfare during the period from <time-start> to <time-end> in the context of '<polity>'. <answer-options>.
https://seshat-db.com/api/wf/elephants/,146,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,147,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the Parthian army of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,148,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the armies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,149,"During the period from <time-start> to <time-end>, was the use of elephants in warfare prevalent or absent in the tactics of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,150,"During the period from <time-start> to <time-end>, were elephants present or absent as a military technology in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,151,"During the period from <time-start> to <time-end>, were elephants, specifically those utilized by Arab states in Sind, Saffarid dynasty, and later Buyid dynasty, present or absent in their military practices? <answer-options>."
https://seshat-db.com/api/wf/elephants/,152,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare practices of '<polity>' despite their enormous logistical requirements? <answer-options>."
https://seshat-db.com/api/wf/elephants/,153,"During the period from <time-start> to <time-end>, were war elephants, as described by Wilcox (1986), a present military technology in the warfare practices of '<polity>' despite their logistical challenges? <answer-options>."
https://seshat-db.com/api/wf/elephants/,154,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>' by Seleucids and Ptolemies, who received them in peace-treaty exchanges from Chandragupta, the founder of the Mauryan empire? <answer-options>."
https://seshat-db.com/api/wf/elephants/,155,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology by the Arabs of Sind, the Saffarids, and the later Buyids in the region of Sind, as stated in the work of historian Andre Wink? <answer-options>."
https://seshat-db.com/api/wf/elephants/,156,"During the period from <time-start> to <time-end>, were elephants utilized as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,157,Was the use of elephants as a military technology present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,158,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,159,Was the use of elephants in warfare absent or present during the period from <time-start> to <time-end> in the context of '<polity>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,160,"Was the elephant, which was not used for military purposes until much later, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,161,"During the period from <time-start> to <time-end>, was the use of elephants as a military technology present or absent in the warfare strategies of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,162,"During the period from <time-start> to <time-end>, were elephants as a military technology present or absent in the warfare practices of '<polity>'? <answer-options>."
https://seshat-db.com/api/wf/elephants/,163,The absence or presence of elephants as a military technology used in warfare.
https://seshat-db.com/api/wf/elephants/,164,"Elephant, defined as a large land animal with tusks and large ears, was present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,165,"Was elephant cavalry, which refers to the use of elephants in warfare as a mounted unit, present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,166,Was the use of elephants as a military technology present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,167,"The absence or presence of elephants as a military technology used in warfare.
Was elephants, defined as large land animals with tusks, present or absent as a military technology in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>."
https://seshat-db.com/api/wf/elephants/,168,The use of elephants as a military technology was present or absent in the warfare practices of '<polity>' during the period from <time-start> to <time-end>? <answer-options>.
https://seshat-db.com/api/wf/elephants/,169,"During the period from <time-start> to <time-end>, were elephants used as a military technology in the warfare practices of '<polity>'? <answer-options>."
